Year,State,County,Average Age,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Other/Unknown,Hospital Readmission Rate,2013 Rural-urban Continuum Code,2013 Urban Influence Code,percent with more than high school,Metro_2013,Unemployment_rate_2015,Median_Household_Income_2015
2015,AK,ANCHORAGE,70,47.95,71.73,5.04,3.93,19.31,0.1398,2,2,68.8,1,5,77791
2015,AK,BETHEL,71,49.34,74.5,2.65,2.56,20.29,0.1543,7,11,35.3,0,14.2,44849
2015,AK,BRISTOL BAY,70,55.84,74.5,2.65,2.56,20.29,0.2,9,12,61.3,0,9.2,66373
2015,AK,DILLINGHAM,71,54.34,74.5,2.65,2.56,20.29,0.1417,9,12,48.4,0,9.6,50753
2015,AK,FAIRBANKS NORTH STAR,70,50.96,80.83,3.02,1.76,14.39,0.1106,3,2,70.9,1,5.4,70881
2015,AK,HAINES,71,50.82,74.5,2.65,2.56,20.29,0.1868,9,12,67.7,0,9.7,57876
2015,AK,HOONAH-ANGOON,71,56.32,26.44,0,0,73.56,0.1437,9,10,59,0,15,53726
2015,AK,JUNEAU,70,49.37,72.83,0.86,3.08,23.22,0.1359,5,8,73.7,0,4.7,82892
2015,AK,KENAI PENINSULA,70,51.6,87.38,0.32,1.12,11.18,0.1596,7,11,60.3,0,7.8,62025
2015,AK,KETCHIKAN GATEWAY,71,50.94,74.5,2.65,2.56,20.29,0.1491,7,8,59.1,0,6.8,65314
2015,AK,KODIAK ISLAND,71,50.69,74.5,2.65,2.56,20.29,0.1168,7,11,63.1,0,4.8,67515
2015,AK,MATANUSKA-SUSITNA,70,49.72,90.4,0.99,1.32,7.29,0.149,2,2,60.6,1,7.6,76601
2015,AK,NOME,71,56.41,74.5,2.65,2.56,20.29,0.1259,7,11,43.3,0,11.8,52952
2015,AK,NORTH SLOPE,69,50.52,74.5,2.65,2.56,20.29,0.2206,7,11,51.9,0,5.7,70834
2015,AK,NORTHWEST ARCTIC,71,50.69,74.5,2.65,2.56,20.29,0.1925,7,11,35.1,0,15.9,53774
2015,AK,PETERSBURG,72,52.53,74.5,2.65,2.56,20.29,0.1429,9,11,62.7,0,8.8,63098
2015,AK,PRINCE OF WALES-HYDER,71,55.93,74.5,2.65,2.56,20.29,0.1389,9,10,49.6,0,12.4,45305
2015,AK,SITKA,71,50,74.5,2.65,2.56,20.29,0.1429,7,11,70.7,0,4.6,68472
2015,AK,SKAGWAY,71,53.92,74.5,2.65,2.56,20.29,0.1437,9,12,68.3,0,11.4,65878
2015,AK,SOUTHEAST FAIRBANKS,72,54.81,74.5,2.65,2.56,20.29,0.1505,9,12,58.9,0,10.5,60203
2015,AK,VALDEZ-CORDOVA,70,54.02,74.5,2.65,2.56,20.29,0.1696,9,11,65.3,0,8.6,70101
